epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,779.815,1.33966,0.91706,1.26951,0.82289,0.76146,0.85357,0.55761,1.31195,0.88487,1.28534,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,803.514,1.31658,0.88249,1.25782,0.85604,0.77526,0.87604,0.58061,1.24967,0.81602,1.2479,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,826.637,1.3105,0.89026,1.25951,0.82263,0.77851,0.87116,0.58945,1.29483,0.77567,1.26542,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,849.914,1.3,0.86886,1.24742,0.85993,0.8096,0.89624,0.6103,1.25555,0.73286,1.24898,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,873.005,1.30277,0.87388,1.24454,0.84329,0.78085,0.87887,0.58708,1.2779,0.77905,1.24813,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,896.218,1.28478,0.85244,1.23545,0.83727,0.76767,0.87922,0.60238,1.24877,0.84278,1.25944,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,920.144,1.27174,0.83471,1.22788,0.87516,0.75168,0.88637,0.6053,1.24666,0.76176,1.23726,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,943.102,1.27717,0.84458,1.23489,0.90076,0.7876,0.89403,0.61944,1.2251,0.72651,1.22984,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,966.465,1.26921,0.83353,1.22592,0.88176,0.8018,0.90394,0.62566,1.19523,0.72086,1.20727,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,989.525,1.23934,0.81357,1.21772,0.8612,0.83051,0.91327,0.64483,1.17459,0.72989,1.2136,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,1012.93,1.24043,0.81082,1.22571,0.87746,0.84161,0.92086,0.65163,1.18786,0.70872,1.21828,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,1036.12,1.23476,0.80303,1.21146,0.82369,0.85753,0.91238,0.64436,1.19067,0.72561,1.20842,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,1058.84,1.22781,0.8053,1.2158,0.84768,0.84291,0.91702,0.64696,1.15259,0.68683,1.18655,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,1082.32,1.21986,0.7862,1.19745,0.84607,0.84873,0.91193,0.63911,1.18341,0.71411,1.21381,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,1105.12,1.2168,0.78639,1.20085,0.87975,0.84503,0.93363,0.66308,1.11054,0.68543,1.17075,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,1128.41,1.2082,0.78674,1.19896,0.87425,0.82508,0.92266,0.6614,1.14766,0.66563,1.17073,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,1151.4,1.19925,0.77324,1.19193,0.8799,0.83816,0.92809,0.67295,1.1223,0.67265,1.17744,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,1174.7,1.19199,0.77485,1.1982,0.89941,0.80608,0.92788,0.67162,1.14346,0.63759,1.18963,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,1197.75,1.18935,0.77515,1.19824,0.90704,0.83926,0.94156,0.66933,1.13036,0.64571,1.16626,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
