epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1855.02,0.92198,0.71633,1.13037,0.89494,0.83453,0.91931,0.71683,0.89606,0.68529,1.12773,0.0011882,0.0011882,0.0011882
43,1894.9,0.92293,0.7295,1.12882,0.88489,0.80989,0.91024,0.70483,0.92269,0.67502,1.13917,0.0011684,0.0011684,0.0011684
44,1937.96,0.91122,0.7233,1.12691,0.90995,0.81862,0.90733,0.71438,0.8914,0.67849,1.11546,0.0011486,0.0011486,0.0011486
45,1980.32,0.90774,0.70202,1.12889,0.90234,0.80659,0.90673,0.71513,0.86424,0.69939,1.12623,0.0011288,0.0011288,0.0011288
46,2024.97,0.88685,0.70185,1.11004,0.8929,0.82477,0.91582,0.71308,0.90662,0.70096,1.12143,0.001109,0.001109,0.001109
47,2067.38,0.90074,0.6958,1.11062,0.88634,0.83959,0.92183,0.7304,0.87982,0.65736,1.11278,0.0010892,0.0010892,0.0010892
48,2123.28,0.88616,0.68313,1.1188,0.87961,0.84332,0.9201,0.73051,0.86376,0.66765,1.12998,0.0010694,0.0010694,0.0010694
49,2186.05,0.87919,0.67295,1.11143,0.8928,0.83123,0.91749,0.72834,0.88825,0.66899,1.13527,0.0010496,0.0010496,0.0010496
50,2249.18,0.87043,0.65565,1.0983,0.88036,0.85936,0.92659,0.73936,0.85935,0.65786,1.11364,0.0010298,0.0010298,0.0010298
51,2315.37,0.84896,0.65919,1.08768,0.9052,0.83414,0.91925,0.73967,0.85198,0.66317,1.09929,0.00101,0.00101,0.00101
52,2379.56,0.85812,0.65597,1.0855,0.87293,0.85839,0.92558,0.7447,0.86283,0.62496,1.10655,0.0009902,0.0009902,0.0009902
53,2441.11,0.8597,0.67598,1.09891,0.88972,0.85294,0.92463,0.74827,0.84054,0.65334,1.0918,0.0009704,0.0009704,0.0009704
54,2504.94,0.84057,0.64004,1.08702,0.90474,0.82908,0.91811,0.73935,0.84972,0.70622,1.08978,0.0009506,0.0009506,0.0009506
55,2549.68,0.83818,0.63386,1.08308,0.93614,0.82638,0.92647,0.75413,0.83079,0.64669,1.08842,0.0009308,0.0009308,0.0009308
56,2603.92,0.82566,0.65322,1.08321,0.9193,0.83026,0.92627,0.75766,0.81471,0.653,1.08514,0.000911,0.000911,0.000911
57,2645.93,0.81663,0.61565,1.06854,0.92557,0.84427,0.92413,0.75507,0.8277,0.64932,1.08631,0.0008912,0.0008912,0.0008912
58,2687.58,0.81731,0.62579,1.07565,0.89866,0.85645,0.92724,0.75831,0.81186,0.63993,1.07793,0.0008714,0.0008714,0.0008714
59,2729.73,0.81769,0.65064,1.08357,0.91423,0.83737,0.92601,0.7516,0.82907,0.64311,1.08921,0.0008516,0.0008516,0.0008516
60,2771.68,0.81017,0.61038,1.07557,0.90575,0.84384,0.92604,0.75193,0.81852,0.66009,1.08678,0.0008318,0.0008318,0.0008318
61,2813.43,0.81853,0.63796,1.07392,0.942,0.82832,0.928,0.75102,0.82048,0.64603,1.07514,0.000812,0.000812,0.000812
62,2855.12,0.79645,0.61371,1.06994,0.90553,0.85742,0.92626,0.76127,0.8032,0.65648,1.08361,0.0007922,0.0007922,0.0007922
63,2897.28,0.77912,0.61474,1.05763,0.91371,0.84214,0.92592,0.76627,0.80274,0.62966,1.08115,0.0007724,0.0007724,0.0007724
64,2939.74,0.80131,0.60966,1.06368,0.93211,0.84481,0.92526,0.76739,0.79073,0.66648,1.0811,0.0007526,0.0007526,0.0007526
65,2981.14,0.77806,0.60814,1.06455,0.94583,0.82735,0.92644,0.76471,0.80069,0.6413,1.07501,0.0007328,0.0007328,0.0007328
66,3024.08,0.77531,0.61999,1.05893,0.91109,0.8419,0.92576,0.7701,0.77901,0.66343,1.06758,0.000713,0.000713,0.000713
67,3066.11,0.75734,0.58722,1.05209,0.90194,0.86535,0.93117,0.77326,0.77562,0.65049,1.06569,0.0006932,0.0006932,0.0006932
68,3108.72,0.75093,0.58599,1.0503,0.9177,0.84357,0.92644,0.76682,0.77707,0.67463,1.08707,0.0006734,0.0006734,0.0006734
69,3150.34,0.7767,0.61002,1.06384,0.94515,0.81892,0.92809,0.76899,0.79447,0.63852,1.07422,0.0006536,0.0006536,0.0006536
70,3191.66,0.75097,0.59505,1.05037,0.90327,0.84234,0.92901,0.77387,0.78723,0.65667,1.07362,0.0006338,0.0006338,0.0006338
71,3234.02,0.76454,0.60661,1.0555,0.9066,0.84737,0.92711,0.7719,0.78434,0.6506,1.06364,0.000614,0.000614,0.000614
72,3275.4,0.74385,0.56464,1.04539,0.93581,0.83608,0.9337,0.78173,0.77338,0.64106,1.056,0.0005942,0.0005942,0.0005942
73,3317.73,0.75043,0.56731,1.04176,0.91225,0.85451,0.93038,0.78272,0.76654,0.64182,1.06454,0.0005744,0.0005744,0.0005744
74,3361.55,0.73497,0.54659,1.04464,0.93097,0.83712,0.92978,0.78033,0.77458,0.63698,1.06629,0.0005546,0.0005546,0.0005546
75,3402.2,0.74348,0.57184,1.04286,0.90913,0.85645,0.929,0.78359,0.76883,0.61876,1.06818,0.0005348,0.0005348,0.0005348
76,3444.43,0.74764,0.57276,1.04154,0.92664,0.84578,0.93058,0.77852,0.78417,0.62882,1.06704,0.000515,0.000515,0.000515
77,3484.95,0.74624,0.5715,1.04319,0.93532,0.84481,0.93286,0.78303,0.77222,0.61772,1.06691,0.0004952,0.0004952,0.0004952
78,3525.44,0.72108,0.56355,1.03256,0.89028,0.85936,0.92849,0.78142,0.77219,0.63708,1.06702,0.0004754,0.0004754,0.0004754
79,3564.96,0.73727,0.56504,1.04118,0.92956,0.84481,0.93371,0.78747,0.76763,0.61824,1.06537,0.0004556,0.0004556,0.0004556
80,3605.48,0.71574,0.54047,1.0251,0.93007,0.8514,0.93381,0.78425,0.77319,0.61472,1.06301,0.0004358,0.0004358,0.0004358
81,3645.64,0.72019,0.54436,1.03256,0.92269,0.85257,0.93324,0.78658,0.77562,0.61344,1.06507,0.000416,0.000416,0.000416
82,3685.53,0.7304,0.55534,1.04542,0.94462,0.83705,0.93468,0.7938,0.75559,0.60425,1.05583,0.0003962,0.0003962,0.0003962
83,3726.57,0.70361,0.53639,1.02747,0.9118,0.85231,0.93333,0.78859,0.74692,0.61931,1.05669,0.0003764,0.0003764,0.0003764
84,3766.82,0.7084,0.54255,1.02453,0.93119,0.84481,0.93365,0.79463,0.75509,0.61263,1.06256,0.0003566,0.0003566,0.0003566
85,3811.44,0.69378,0.51491,1.0181,0.93227,0.84384,0.9339,0.79533,0.75515,0.60244,1.06174,0.0003368,0.0003368,0.0003368
86,3874.59,0.6919,0.5318,1.01939,0.91996,0.84727,0.93494,0.79508,0.74926,0.61366,1.05574,0.000317,0.000317,0.000317
87,3936.72,0.71088,0.55061,1.02952,0.94552,0.82488,0.93027,0.79269,0.75574,0.62588,1.05552,0.0002972,0.0002972,0.0002972
88,4000.65,0.69027,0.52593,1.01757,0.9405,0.84093,0.93184,0.79468,0.75384,0.63264,1.05932,0.0002774,0.0002774,0.0002774
89,4064,0.70847,0.5464,1.0212,0.91833,0.85072,0.93444,0.79379,0.75089,0.61351,1.05926,0.0002576,0.0002576,0.0002576
90,4125.38,0.7141,0.55066,1.03384,0.92907,0.83852,0.93263,0.79567,0.74489,0.62315,1.05862,0.0002378,0.0002378,0.0002378
91,4195.84,0.55462,0.36368,0.93216,0.9108,0.85177,0.93122,0.78728,0.77284,0.631,1.06895,0.000218,0.000218,0.000218
92,4260.05,0.54675,0.3392,0.93415,0.92198,0.84481,0.93344,0.79371,0.75536,0.63255,1.0615,0.0001982,0.0001982,0.0001982
93,4319.48,0.5395,0.34234,0.94035,0.93785,0.8419,0.93286,0.79467,0.7539,0.63401,1.06003,0.0001784,0.0001784,0.0001784
94,4381.04,0.53012,0.33992,0.92238,0.93908,0.83731,0.93427,0.79403,0.74715,0.62709,1.06032,0.0001586,0.0001586,0.0001586
95,4431.85,0.53056,0.32533,0.92687,0.91962,0.85742,0.93561,0.79417,0.74734,0.62684,1.05864,0.0001388,0.0001388,0.0001388
96,4473.69,0.53746,0.34911,0.93312,0.93093,0.84972,0.93428,0.79607,0.74303,0.63032,1.05813,0.000119,0.000119,0.000119
97,4513.8,0.52787,0.32927,0.92678,0.91644,0.85106,0.93496,0.79604,0.74517,0.62359,1.05924,9.92e-05,9.92e-05,9.92e-05
98,4552.96,0.52286,0.33692,0.93252,0.92772,0.84772,0.93561,0.79485,0.74982,0.6166,1.0639,7.94e-05,7.94e-05,7.94e-05
99,4592.66,0.52783,0.33695,0.92483,0.92653,0.85645,0.93603,0.79629,0.74645,0.61601,1.06051,5.96e-05,5.96e-05,5.96e-05
100,4633.62,0.518,0.3287,0.92914,0.92066,0.85543,0.93569,0.79521,0.7461,0.61875,1.06052,3.98e-05,3.98e-05,3.98e-05
