epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2313,1.1922,2.80206,1.30393,0.81581,0.37148,0.36123,0.21946,1.31491,1.26778,1.42037,0.000553175,0.000553175,0.000553175
2,124.019,1.28085,1.2866,1.32474,0.8353,0.36789,0.38417,0.2218,1.36232,1.24524,1.45667,0.00109786,0.00109786,0.00109786
3,186.369,1.29553,1.19795,1.33836,0.83619,0.37917,0.40461,0.23448,1.35555,1.21179,1.45196,0.00163155,0.00163155,0.00163155
4,255.506,1.33696,1.18933,1.3638,0.85233,0.34265,0.39701,0.22864,1.41229,1.23278,1.49899,0.00161749,0.00161749,0.00161749
5,320.608,1.34218,1.17738,1.34419,0.36379,0.48876,0.42988,0.25235,1.37938,1.20532,1.47254,0.00160099,0.00160099,0.00160099
6,388.879,1.30288,1.16067,1.34485,0.3657,0.498,0.44836,0.26009,1.31816,1.15101,1.43068,0.00158448,0.00158448,0.00158448
7,452.536,1.31609,1.08436,1.3251,0.42166,0.5027,0.44701,0.25959,1.36102,1.17017,1.44405,0.00156798,0.00156798,0.00156798
8,535.123,1.29624,1.0965,1.32086,0.38803,0.5185,0.44613,0.26542,1.37907,1.14462,1.44886,0.00155148,0.00155148,0.00155148
9,619.201,1.30936,1.11787,1.32678,0.43372,0.52629,0.46339,0.26615,1.37771,1.15397,1.46902,0.00153497,0.00153497,0.00153497
10,685.806,1.27297,1.07687,1.31466,0.48574,0.56103,0.46747,0.26963,1.38061,1.18187,1.45448,0.00151847,0.00151847,0.00151847
11,747.051,1.29895,1.07554,1.30835,0.4943,0.5409,0.49819,0.29098,1.36953,1.10853,1.4293,0.00150197,0.00150197,0.00150197
12,811.82,1.27065,1.0604,1.30256,0.48776,0.54347,0.48767,0.2905,1.36125,1.09907,1.42461,0.00148546,0.00148546,0.00148546
13,885.52,1.25199,1.06088,1.28655,0.5062,0.52237,0.49267,0.28666,1.33548,1.15986,1.43179,0.00146896,0.00146896,0.00146896
14,975.465,1.24306,1.01701,1.28684,0.56566,0.57592,0.53073,0.30235,1.37194,1.10529,1.42936,0.00145246,0.00145246,0.00145246
15,1039.74,1.25187,1.04077,1.29654,0.51598,0.57363,0.53053,0.31181,1.33036,1.08245,1.42837,0.00143595,0.00143595,0.00143595
16,1104.81,1.2643,1.00701,1.29582,0.46538,0.57978,0.50346,0.29548,1.34433,1.09965,1.42378,0.00141945,0.00141945,0.00141945
17,1169.82,1.26459,1.02057,1.29443,0.479,0.58742,0.52184,0.29957,1.39698,1.0669,1.46168,0.00140295,0.00140295,0.00140295
18,1234.6,1.22808,1.0107,1.27913,0.45626,0.61066,0.51253,0.29788,1.3869,1.11379,1.47722,0.00138644,0.00138644,0.00138644
19,1309.73,1.2056,0.96695,1.27127,0.48401,0.63611,0.53714,0.31627,1.31539,1.03404,1.40772,0.00136994,0.00136994,0.00136994
20,1391.84,1.22576,0.97866,1.27308,0.49736,0.54565,0.51022,0.30274,1.3612,1.0749,1.44082,0.00135344,0.00135344,0.00135344
21,1485.88,1.20718,0.95433,1.26622,0.51293,0.56703,0.50958,0.31218,1.33609,1.12647,1.42751,0.00133693,0.00133693,0.00133693
22,1571.37,1.21153,0.97726,1.27189,0.49291,0.62868,0.53152,0.32211,1.32918,1.08445,1.41619,0.00132043,0.00132043,0.00132043
23,1666.28,1.20107,0.94645,1.25763,0.4947,0.59608,0.52118,0.31573,1.30661,1.09334,1.39508,0.00130393,0.00130393,0.00130393
24,1758.12,1.17827,0.96016,1.25396,0.53505,0.59129,0.57192,0.34398,1.29771,1.07926,1.40035,0.00128742,0.00128742,0.00128742
25,1842.83,1.18288,0.95797,1.24369,0.55851,0.58342,0.5739,0.34376,1.29575,1.04791,1.39288,0.00127092,0.00127092,0.00127092
26,1935.9,1.16923,0.93129,1.24057,0.54037,0.64933,0.56673,0.35018,1.31542,0.99006,1.39272,0.00125442,0.00125442,0.00125442
27,2027.37,1.17163,0.9363,1.23908,0.54298,0.62665,0.55343,0.33151,1.3315,1.09038,1.43023,0.00123791,0.00123791,0.00123791
28,2114.34,1.17562,0.92592,1.24068,0.50604,0.58079,0.5156,0.31443,1.30535,1.05382,1.40274,0.00122141,0.00122141,0.00122141
29,2207.23,1.16416,0.94693,1.2406,0.50233,0.631,0.51948,0.31475,1.29644,1.04641,1.39484,0.00120491,0.00120491,0.00120491
30,2273.3,1.15433,0.90837,1.2305,0.51889,0.63094,0.52728,0.31593,1.29136,1.05685,1.38635,0.0011884,0.0011884,0.0011884
31,2333.78,1.1632,0.882,1.2331,0.54623,0.64611,0.58304,0.36205,1.28763,1.01553,1.38242,0.0011719,0.0011719,0.0011719
32,2403.66,1.13828,0.88747,1.21336,0.5393,0.62381,0.54077,0.3326,1.29476,1.04517,1.38183,0.0011554,0.0011554,0.0011554
33,2493.18,1.14229,0.89818,1.22185,0.5364,0.59681,0.5563,0.34467,1.27888,1.07527,1.38295,0.00113889,0.00113889,0.00113889
34,2577.89,1.12006,0.87921,1.20773,0.54225,0.63791,0.55577,0.3542,1.25082,1.02818,1.37284,0.00112239,0.00112239,0.00112239
35,2669.95,1.11696,0.87708,1.19611,0.57094,0.65167,0.59455,0.37105,1.23698,1.02145,1.35168,0.00110589,0.00110589,0.00110589
