epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0469,1.35924,0.94647,1.32506,0.82328,0.77187,0.85716,0.49295,1.47273,1.021,1.45131,0.000663399,0.000663399,0.000663399
2,80.8084,1.4634,1.03879,1.38328,0.77535,0.75965,0.83149,0.46535,1.52774,1.01873,1.48892,0.00128617,0.00128617,0.00128617
3,121.534,1.50328,1.0819,1.41264,0.81014,0.72451,0.82238,0.43508,1.59468,1.10385,1.53537,0.00186495,0.00186495,0.00186495
4,163.971,1.52449,1.11434,1.43254,0.79725,0.73053,0.81511,0.44184,1.5573,1.15253,1.51853,0.001802,0.001802,0.001802
5,209.372,1.5348,1.12845,1.45541,0.77625,0.74706,0.82404,0.44869,1.55995,1.11863,1.54831,0.001736,0.001736,0.001736
6,251.034,1.52699,1.08505,1.42376,0.79589,0.68578,0.78845,0.41268,1.61938,1.18638,1.58018,0.00167,0.00167,0.00167
7,292.532,1.5339,1.12008,1.4435,0.81512,0.7402,0.83415,0.45447,1.51606,1.07579,1.51112,0.001604,0.001604,0.001604
8,335.075,1.49149,1.08109,1.40511,0.79409,0.76375,0.83875,0.46506,1.53826,1.04889,1.51289,0.001538,0.001538,0.001538
9,377.794,1.47169,1.04759,1.40946,0.81134,0.76176,0.84577,0.46807,1.50132,1.01626,1.49867,0.001472,0.001472,0.001472
10,421.141,1.48124,1.04033,1.41444,0.80382,0.7598,0.83585,0.46717,1.50701,1.00466,1.48062,0.001406,0.001406,0.001406
11,465.103,1.45496,1.01212,1.3884,0.82988,0.75784,0.85126,0.46427,1.49372,0.99614,1.517,0.00134,0.00134,0.00134
